"Name","Description","Flavors","Sweetness","Body","Tanins","Acidity","Alcohol","Serve","Glass","Decant","Age","Pairing"
"Agiorgitiko","The most widely planted red grape of Greece offers a wide range of styles, from rosé to red. The most exceptional Agiorgitiko wines are the full-bodied reds from Nemea.","Raspberry, Blackberry, Plum Sauce, Black Pepper, Nutmeg","1","4","4","3","11.5–13.5% ABV","60–68°F / 15-20°C","Oversized","1 Hour","10+ Years","With subtle flavors of nutmeg and cinnamon, Agiorgitiko pairs wonderfully with roasted meats, tomato sauces, and spiced cuisines from the Middle East to India."
"Aglianico","If Nebbiolo is king of Northern Italy, then Aglianico is king of the South. A wine with incredible quality, and a unique savory flavor that’s best enjoyed aged.","White Pepper, Black Cherry, Smoke, Game, Spiced Plum","1","5","5","4","13.5–15% ABV","60–68°F / 15-20°C","Oversized","1 Hour","10+ Years","A savory wine like Aglianico goes well with gamey dishes or even Texas-style barbecue. Of course, a well-aged Aglianico can be sipped like a fine Islay Scotch."
"Airén","Spain’s most widely planted grape is primarily used for brandy, save for a few producers who have revitalized the drought-resistant old bush vines for winemaking.","Apple, Pineapple, Grapefruit, Banana, Rose","2","2","1","1","11.5–13.5% ABV","45–55°F / 7-12°C","White","No","1–3 Years","Because of it’s bolder style and lower acidity, Airén is often blended with other grapes, including Viura, Verdejo or Sauvignon Blanc to make a more balanced wine."
"Albariño (Alvarinho)","Albariño wine (“alba-reen-yo”) is a delightfully refreshing coastal white that grows on the Iberian Peninsula. It’s loved for its rich stone fruit flavors, a hint of salinity, and zippy acidity.","Lemon Zest, Grapefruit, Honeydew, Nectarine, Saline","2","1","1","5","11.5–13.5% ABV","38–45°F / 3-7°C","White","No","3–5 Years","A friend to all things from the sea, Albariño pairs exceptionally well with white fish and meats as well as leafy green herbs. Try it with fish tacos."
"Alicante Bouschet","A rare type of grape that has both red skins and red flesh, known as a teinturier. Created when French botanist, Henri Bouschet, crossed Grenache with Petit Bouschet.","Black Cherry, Blackberry Bramble, Black Plum, Black Pepper, Sweet Tobacco","2","5","4","3","13.5–15% ABV","60–68°F / 15-20°C","Oversized","30 Minutes","5–10 Years","The intense smoky-sweet flavors of Alicante Bouschet beg for equally intense foods including barbecue, teriyaki, carne asada and grilled vegetables."
"Aligoté","Aligoté is Burgundy’s “other” white grape, more rarely encountered than Chardonnay; yielding light, citrusy wines. It is also the traditional base ingredient for the Kir cocktail.","Apple, Unripe Peach, White Flower, Smoke,Fresh Herbs","1","1","1","5","11.5–13.5% ABV","45–55°F / 7-12°C","White","No","1–3 Years","With lean, minerally flavors and palate-cleansing acidity, Aligoté does wonderfully alongside fish dishes and soupe, salads, and gooey cow’s milk cheeses."
"Arinto","An indigenous grape to Portugal that produces exceptional, age-worthy whites with the ability to evolve over 7 or more years; revealing flavors of beeswax and nuts.","Lemon Zest, Grapefruit, Hazelnut, Beeswax, Chamomile","1","2","1","5","11.5–13.5% ABV","45–55°F / 7-12°C","White","No","5–10 Years","Arinto makes an excellent pairing with richer seafood including Portugal’s famous bacalhau (salt cod) due to it’s high acidity and lemon-zest like flavors."
"Arneis","Arneis (“little rascal”) owes its existence, in part, from the efforts of one winemaker, Alfredo Currado of the Vietti family, who brought it back from scarcity.","Peach, Yellow Apple, Honey, Raw Almond, Nutmeg","1","2","1","2","11.5–13.5% ABV","45–55°F / 7-12°C","White","No","3–5 Years","Try pairing Arneis with less-intensely flavored dishes such as creamy pastas, chicken, turkey, or fish. It is a great complement to fresh herbs like tarragon."
"Assyrtiko","Native to Santorini, Assyrtiko is a rare grape in terms of vineyard area, but is quickly picking up acreage throughout Greece. Noted for its texture, acidity, and minerality. ","Lime, Passion Fruit, Beeswax, Flint, Saline","1","1","1","5","13.5–15% ABV","38–45°F / 3-7°C","White","No","5–10 Years","Assyrtiko is perfect for shellfish and, of course, Greece’s classic tomato-feta salad. You’ll find this wine is extremely versatile with a wide range of cuisines."
"Baga","Even though a large proportion of Baga is used in Portugal’s leading value wine, Mateus Rosé, the grape can produce age-worthy reds and complex sparkling rosé.","Blackberry, Black Currant, Dried Cherry, Cocoa, Tar","2","4","5","5","11.5–13.5% ABV","55–60°F / 12-15°C","Universal","1 Hour","10+ Years","A rich red that deserves fatty, spiced and roasted meats to complement it’s sometimes robust, gravelly or tar-like flavors."
